Requisition_ID,Fiscal_Year,Office,Job_Series,Grade_Level,Applicants,Qualified_Applicants,Interviewed,Selected,Time_To_Fill_Days,Hiring_Stage,Vacancy_Type,Location,Qualification_Rate,Interview_Rate,Selection_Rate
REQ-1194,FY2024,Policy,0501 Financial Analyst,GS-11,53,28,9,1,135,Interview,Temporary Surge,"Washington, DC",52.83,32.14,11.11
REQ-1195,FY2024,Finance,2210 IT Specialist,GS-11,184,106,35,4,45,Open,Temporary Surge,"Baltimore, MD",57.61,33.02,11.43
REQ-1196,FY2026,Operations,1515 Operations Research Analyst,GS-13,175,104,13,1,57,Selected,Backfill,"Arlington, VA",59.43,12.5,7.69
REQ-1197,FY2025,Human Resources,0301 Program Analyst,GS-11,168,95,19,2,102,Selected,Backfill,Remote,56.55,20.0,10.53
REQ-1198,FY2025,Human Resources,1515 Operations Research Analyst,GS-12,231,80,21,4,61,Interview,New Position,"Washington, DC",34.63,26.25,19.05
REQ-1199,FY2024,Program Management,1515 Operations Research Analyst,GS-13,120,52,14,2,131,Selected,Backfill,"Baltimore, MD",43.33,26.92,14.29
REQ-1200,FY2025,IT Services,1515 Operations Research Analyst,GS-9,109,50,13,2,92,Review,New Position,Hybrid,45.87,26.0,15.38
REQ-1201,FY2025,Human Resources,2210 IT Specialist,GS-13,216,137,36,10,69,Review,Backfill,"Arlington, VA",63.43,26.28,27.78
REQ-1202,FY2024,Policy,0343 Management Analyst,GS-9,336,188,55,12,58,Review,New Position,Remote,55.95,29.26,21.82
REQ-1203,FY2024,Human Resources,0343 Management Analyst,GS-9,85,39,14,2,127,Review,New Position,Hybrid,45.88,35.9,14.29
REQ-1204,FY2026,Operations,0501 Financial Analyst,GS-11,146,92,30,7,50,Open,New Position,"Arlington, VA",63.01,32.61,23.33
REQ-1205,FY2025,Program Management,1515 Operations Research Analyst,GS-12,164,60,20,1,93,Selected,Backfill,"Arlington, VA",36.59,33.33,5.0
REQ-1206,FY2025,Operations,0501 Financial Analyst,GS-9,72,26,4,1,42,Review,Backfill,"Arlington, VA",36.11,15.38,25.0
REQ-1207,FY2024,IT Services,1515 Operations Research Analyst,GS-9,347,141,47,4,104,Selected,Backfill,"Baltimore, MD",40.63,33.33,8.51
REQ-1208,FY2025,Operations,1515 Operations Research Analyst,GS-9,87,23,3,1,134,Interview,New Position,Remote,26.44,13.04,33.33
REQ-1209,FY2025,Program Management,0501 Financial Analyst,GS-13,171,53,12,2,35,Interview,Temporary Surge,"Washington, DC",30.99,22.64,16.67
REQ-1210,FY2026,IT Services,2210 IT Specialist,GS-12,311,106,26,6,134,Interview,Temporary Surge,"Baltimore, MD",34.08,24.53,23.08
REQ-1211,FY2025,Human Resources,0501 Financial Analyst,GS-12,240,65,29,6,81,Interview,Temporary Surge,"Arlington, VA",27.08,44.62,20.69
REQ-1212,FY2024,Policy,1515 Operations Research Analyst,GS-12,125,59,26,6,73,Selected,Backfill,"Washington, DC",47.2,44.07,23.08
REQ-1213,FY2024,Program Management,0501 Financial Analyst,GS-9,259,141,23,2,127,Cancelled,Temporary Surge,"Baltimore, MD",54.44,16.31,8.7
REQ-1214,FY2024,Finance,1515 Operations Research Analyst,GS-9,290,134,53,9,37,Open,Backfill,"Washington, DC",46.21,39.55,16.98
REQ-1215,FY2026,Operations,1515 Operations Research Analyst,GS-11,143,82,28,5,121,Selected,New Position,"Washington, DC",57.34,34.15,17.86
REQ-1216,FY2026,Policy,0301 Program Analyst,GS-9,107,48,6,2,114,Open,New Position,"Washington, DC",44.86,12.5,33.33
REQ-1217,FY2024,Human Resources,0501 Financial Analyst,GS-11,192,111,17,3,110,Open,New Position,"Arlington, VA",57.81,15.32,17.65
REQ-1218,FY2026,IT Services,0201 HR Specialist,GS-11,253,97,38,9,86,Review,Backfill,"Arlington, VA",38.34,39.18,23.68
REQ-1219,FY2025,IT Services,0301 Program Analyst,GS-13,58,28,6,1,88,Open,New Position,Hybrid,48.28,21.43,16.67
REQ-1220,FY2024,Program Management,0343 Management Analyst,GS-9,55,17,6,1,83,Selected,New Position,"Arlington, VA",30.91,35.29,16.67
REQ-1221,FY2025,Policy,0301 Program Analyst,GS-11,80,43,14,2,123,Selected,New Position,"Baltimore, MD",53.75,32.56,14.29
REQ-1222,FY2024,Policy,0501 Financial Analyst,GS-9,302,130,26,2,123,Open,Temporary Surge,"Baltimore, MD",43.05,20.0,7.69
REQ-1223,FY2026,Finance,0201 HR Specialist,GS-11,213,89,27,3,102,Cancelled,Backfill,"Arlington, VA",41.78,30.34,11.11
REQ-1224,FY2024,Policy,0343 Management Analyst,GS-9,176,48,8,1,95,Interview,Temporary Surge,"Baltimore, MD",27.27,16.67,12.5
REQ-1225,FY2024,Policy,0343 Management Analyst,GS-11,180,60,12,2,132,Interview,New Position,"Washington, DC",33.33,20.0,16.67
REQ-1226,FY2025,Program Management,0301 Program Analyst,GS-12,283,129,18,2,91,Interview,New Position,"Washington, DC",45.58,13.95,11.11
REQ-1227,FY2024,Human Resources,0501 Financial Analyst,GS-13,201,69,14,2,60,Review,New Position,Remote,34.33,20.29,14.29
REQ-1228,FY2026,Operations,1515 Operations Research Analyst,GS-12,109,37,12,1,82,Open,Backfill,"Arlington, VA",33.94,32.43,8.33
REQ-1229,FY2025,Program Management,0501 Financial Analyst,GS-11,206,62,22,1,52,Open,Backfill,"Arlington, VA",30.1,35.48,4.55
REQ-1230,FY2026,IT Services,0301 Program Analyst,GS-9,186,91,35,7,113,Selected,Backfill,Hybrid,48.92,38.46,20.0
REQ-1231,FY2026,Program Management,1515 Operations Research Analyst,GS-11,285,170,33,6,94,Review,New Position,"Baltimore, MD",59.65,19.41,18.18
REQ-1232,FY2024,Program Management,0343 Management Analyst,GS-9,257,124,51,10,54,Selected,Backfill,Hybrid,48.25,41.13,19.61
REQ-1233,FY2025,Program Management,0301 Program Analyst,GS-9,52,22,6,2,124,Selected,Temporary Surge,"Washington, DC",42.31,27.27,33.33
REQ-1234,FY2024,Program Management,1515 Operations Research Analyst,GS-12,243,153,25,3,117,Cancelled,New Position,Remote,62.96,16.34,12.0
REQ-1235,FY2026,Program Management,0301 Program Analyst,GS-12,327,179,23,4,133,Open,Temporary Surge,Remote,54.74,12.85,17.39
REQ-1236,FY2025,Program Management,2210 IT Specialist,GS-11,35,21,3,1,77,Interview,Temporary Surge,"Washington, DC",60.0,14.29,33.33
REQ-1237,FY2024,Human Resources,0501 Financial Analyst,GS-12,206,112,15,4,121,Review,Backfill,Hybrid,54.37,13.39,26.67
REQ-1238,FY2024,Operations,2210 IT Specialist,GS-11,55,22,4,1,43,Interview,Temporary Surge,"Washington, DC",40.0,18.18,25.0
REQ-1239,FY2026,Operations,2210 IT Specialist,GS-12,279,152,56,15,124,Review,Backfill,Hybrid,54.48,36.84,26.79
REQ-1240,FY2024,Program Management,1515 Operations Research Analyst,GS-12,251,91,13,2,97,Interview,Backfill,Hybrid,36.25,14.29,15.38
REQ-1241,FY2025,Human Resources,0343 Management Analyst,GS-13,223,127,55,14,43,Review,New Position,"Baltimore, MD",56.95,43.31,25.45
REQ-1242,FY2024,IT Services,1515 Operations Research Analyst,GS-9,74,22,5,1,98,Open,Backfill,Remote,29.73,22.73,20.0
REQ-1243,FY2025,Operations,0343 Management Analyst,GS-9,312,194,54,8,129,Selected,New Position,Hybrid,62.18,27.84,14.81
REQ-1244,FY2026,Policy,0201 HR Specialist,GS-13,206,85,20,4,76,Interview,Backfill,"Baltimore, MD",41.26,23.53,20.0
REQ-1245,FY2025,Finance,0343 Management Analyst,GS-11,325,98,37,3,68,Review,Backfill,"Baltimore, MD",30.15,37.76,8.11
REQ-1246,FY2024,Policy,1515 Operations Research Analyst,GS-11,268,170,55,5,103,Review,New Position,"Arlington, VA",63.43,32.35,9.09
REQ-1247,FY2026,Human Resources,1515 Operations Research Analyst,GS-12,94,25,6,1,58,Review,Backfill,"Arlington, VA",26.6,24.0,16.67
REQ-1248,FY2025,Program Management,0301 Program Analyst,GS-13,225,97,43,8,50,Selected,Backfill,"Arlington, VA",43.11,44.33,18.6
REQ-1249,FY2025,Finance,0201 HR Specialist,GS-11,37,24,7,1,117,Selected,Temporary Surge,Remote,64.86,29.17,14.29
REQ-1250,FY2024,Finance,0343 Management Analyst,GS-13,208,109,39,11,52,Selected,Temporary Surge,"Arlington, VA",52.4,35.78,28.21
REQ-1251,FY2024,Finance,0301 Program Analyst,GS-9,263,103,23,5,59,Interview,New Position,Hybrid,39.16,22.33,21.74
REQ-1252,FY2025,IT Services,0201 HR Specialist,GS-9,263,137,60,18,85,Review,Temporary Surge,"Baltimore, MD",52.09,43.8,30.0
REQ-1253,FY2025,Finance,2210 IT Specialist,GS-13,238,74,30,4,82,Open,Temporary Surge,"Washington, DC",31.09,40.54,13.33
REQ-1254,FY2026,Program Management,1515 Operations Research Analyst,GS-13,145,78,21,6,91,Review,New Position,Hybrid,53.79,26.92,28.57
REQ-1255,FY2024,IT Services,0501 Financial Analyst,GS-9,341,97,18,3,102,Cancelled,New Position,Remote,28.45,18.56,16.67
REQ-1256,FY2024,Operations,0501 Financial Analyst,GS-12,174,72,22,5,131,Selected,Temporary Surge,Remote,41.38,30.56,22.73
REQ-1257,FY2025,Operations,0343 Management Analyst,GS-9,56,32,7,1,98,Interview,New Position,"Baltimore, MD",57.14,21.88,14.29
REQ-1258,FY2025,Program Management,0301 Program Analyst,GS-13,188,119,47,8,118,Selected,Temporary Surge,"Arlington, VA",63.3,39.5,17.02
REQ-1259,FY2025,IT Services,0501 Financial Analyst,GS-13,49,15,3,1,43,Interview,Backfill,Remote,30.61,20.0,33.33
REQ-1260,FY2024,Operations,2210 IT Specialist,GS-13,96,38,14,1,68,Open,Temporary Surge,"Arlington, VA",39.58,36.84,7.14
REQ-1261,FY2025,IT Services,1515 Operations Research Analyst,GS-9,217,68,14,2,80,Open,Temporary Surge,"Arlington, VA",31.34,20.59,14.29
REQ-1262,FY2026,Finance,2210 IT Specialist,GS-12,128,71,23,2,76,Selected,New Position,Hybrid,55.47,32.39,8.7
REQ-1263,FY2025,Program Management,2210 IT Specialist,GS-11,331,129,22,2,71,Review,New Position,"Arlington, VA",38.97,17.05,9.09
REQ-1264,FY2026,IT Services,1515 Operations Research Analyst,GS-9,114,51,20,5,106,Interview,Backfill,Remote,44.74,39.22,25.0
REQ-1265,FY2025,IT Services,0201 HR Specialist,GS-12,74,22,4,1,123,Review,New Position,"Baltimore, MD",29.73,18.18,25.0
REQ-1266,FY2024,Operations,0301 Program Analyst,GS-9,49,27,4,1,123,Review,Backfill,"Washington, DC",55.1,14.81,25.0
REQ-1267,FY2026,IT Services,0201 HR Specialist,GS-9,74,19,5,1,60,Open,Backfill,"Washington, DC",25.68,26.32,20.0
REQ-1268,FY2026,Operations,0201 HR Specialist,GS-11,164,44,10,1,47,Selected,New Position,"Baltimore, MD",26.83,22.73,10.0
REQ-1269,FY2024,IT Services,1515 Operations Research Analyst,GS-11,49,14,6,2,109,Review,Temporary Surge,Hybrid,28.57,42.86,33.33
REQ-1270,FY2024,IT Services,0343 Management Analyst,GS-9,69,20,6,1,59,Cancelled,New Position,Hybrid,28.99,30.0,16.67
REQ-1271,FY2025,Program Management,0501 Financial Analyst,GS-11,278,110,35,6,48,Review,Temporary Surge,"Arlington, VA",39.57,31.82,17.14
REQ-1272,FY2025,Finance,1515 Operations Research Analyst,GS-12,243,72,32,3,49,Interview,Temporary Surge,"Washington, DC",29.63,44.44,9.38
REQ-1273,FY2026,Program Management,0301 Program Analyst,GS-13,77,29,5,1,111,Selected,Backfill,Remote,37.66,17.24,20.0
REQ-1274,FY2024,Policy,0501 Financial Analyst,GS-9,131,78,32,8,121,Review,Backfill,Remote,59.54,41.03,25.0
REQ-1275,FY2024,Policy,0301 Program Analyst,GS-9,302,155,23,2,86,Selected,Backfill,"Arlington, VA",51.32,14.84,8.7
REQ-1276,FY2026,Program Management,2210 IT Specialist,GS-12,208,69,27,4,64,Selected,Temporary Surge,Remote,33.17,39.13,14.81
REQ-1277,FY2024,Program Management,0343 Management Analyst,GS-9,217,96,31,5,97,Interview,Backfill,Remote,44.24,32.29,16.13
REQ-1278,FY2024,Program Management,1515 Operations Research Analyst,GS-9,289,99,43,2,129,Open,New Position,Remote,34.26,43.43,4.65
REQ-1279,FY2026,IT Services,0501 Financial Analyst,GS-13,344,179,31,6,47,Selected,New Position,"Baltimore, MD",52.03,17.32,19.35
REQ-1280,FY2024,Program Management,0343 Management Analyst,GS-13,289,129,27,4,104,Interview,Backfill,"Baltimore, MD",44.64,20.93,14.81
REQ-1281,FY2025,Policy,0301 Program Analyst,GS-13,227,97,13,1,119,Selected,Backfill,"Arlington, VA",42.73,13.4,7.69
REQ-1282,FY2026,Policy,0201 HR Specialist,GS-13,194,104,29,2,121,Interview,Backfill,Hybrid,53.61,27.88,6.9
REQ-1283,FY2025,Finance,2210 IT Specialist,GS-9,115,52,13,2,83,Interview,New Position,Hybrid,45.22,25.0,15.38
REQ-1284,FY2026,Finance,0501 Financial Analyst,GS-9,58,17,4,1,109,Open,Backfill,"Baltimore, MD",29.31,23.53,25.0
REQ-1285,FY2026,Human Resources,1515 Operations Research Analyst,GS-9,217,90,12,1,65,Selected,Backfill,"Washington, DC",41.47,13.33,8.33
REQ-1286,FY2026,IT Services,0501 Financial Analyst,GS-12,207,66,20,1,119,Selected,New Position,Remote,31.88,30.3,5.0
REQ-1287,FY2025,Human Resources,1515 Operations Research Analyst,GS-11,336,87,20,4,76,Interview,Backfill,Remote,25.89,22.99,20.0
REQ-1288,FY2025,Operations,0501 Financial Analyst,GS-9,292,168,57,5,73,Review,Temporary Surge,"Arlington, VA",57.53,33.93,8.77
REQ-1289,FY2024,Policy,0201 HR Specialist,GS-9,182,65,14,3,63,Interview,Temporary Surge,"Baltimore, MD",35.71,21.54,21.43
REQ-1290,FY2024,Policy,2210 IT Specialist,GS-12,174,48,18,3,61,Review,Backfill,Hybrid,27.59,37.5,16.67
REQ-1291,FY2026,Operations,0343 Management Analyst,GS-11,195,64,16,3,93,Selected,Temporary Surge,Remote,32.82,25.0,18.75
REQ-1292,FY2026,IT Services,0501 Financial Analyst,GS-9,144,74,29,8,69,Selected,Temporary Surge,"Arlington, VA",51.39,39.19,27.59
REQ-1293,FY2025,Program Management,2210 IT Specialist,GS-9,221,96,19,4,132,Review,Temporary Surge,"Arlington, VA",43.44,19.79,21.05
REQ-1294,FY2025,Operations,0343 Management Analyst,GS-11,246,88,19,2,122,Interview,New Position,"Washington, DC",35.77,21.59,10.53
REQ-1295,FY2024,Operations,0301 Program Analyst,GS-12,160,91,20,3,90,Review,New Position,"Washington, DC",56.88,21.98,15.0
REQ-1296,FY2026,Program Management,0343 Management Analyst,GS-9,167,94,20,4,117,Selected,New Position,"Baltimore, MD",56.29,21.28,20.0
REQ-1297,FY2024,Program Management,1515 Operations Research Analyst,GS-11,343,127,18,5,81,Selected,New Position,"Washington, DC",37.03,14.17,27.78
REQ-1298,FY2026,Finance,0501 Financial Analyst,GS-9,327,178,76,14,109,Selected,New Position,Hybrid,54.43,42.7,18.42
REQ-1299,FY2026,Policy,0301 Program Analyst,GS-13,97,54,12,3,129,Review,New Position,"Arlington, VA",55.67,22.22,25.0
REQ-1300,FY2024,Program Management,0201 HR Specialist,GS-12,89,28,12,2,67,Selected,Temporary Surge,"Washington, DC",31.46,42.86,16.67
REQ-1301,FY2024,Finance,0501 Financial Analyst,GS-12,197,92,25,3,70,Selected,Backfill,"Washington, DC",46.7,27.17,12.0
REQ-1302,FY2026,Operations,2210 IT Specialist,GS-13,345,91,33,8,41,Selected,Backfill,"Baltimore, MD",26.38,36.26,24.24
REQ-1303,FY2025,Finance,2210 IT Specialist,GS-9,97,45,9,1,36,Selected,New Position,"Baltimore, MD",46.39,20.0,11.11
REQ-1304,FY2026,Program Management,0343 Management Analyst,GS-12,142,84,15,2,75,Selected,New Position,Remote,59.15,17.86,13.33
REQ-1305,FY2024,Operations,1515 Operations Research Analyst,GS-12,276,150,64,9,89,Selected,Temporary Surge,"Washington, DC",54.35,42.67,14.06
REQ-1306,FY2024,Human Resources,1515 Operations Research Analyst,GS-11,215,90,32,6,76,Interview,Temporary Surge,Remote,41.86,35.56,18.75
REQ-1307,FY2024,Operations,0201 HR Specialist,GS-11,104,26,5,1,108,Open,Temporary Surge,Remote,25.0,19.23,20.0
REQ-1308,FY2025,Finance,0301 Program Analyst,GS-9,198,85,35,3,57,Selected,Backfill,"Baltimore, MD",42.93,41.18,8.57
REQ-1309,FY2024,IT Services,1515 Operations Research Analyst,GS-11,128,52,13,3,108,Review,New Position,Remote,40.62,25.0,23.08
REQ-1310,FY2025,Operations,0343 Management Analyst,GS-12,136,48,19,1,114,Review,New Position,Hybrid,35.29,39.58,5.26
REQ-1311,FY2025,Human Resources,0301 Program Analyst,GS-11,95,24,7,2,93,Selected,New Position,"Baltimore, MD",25.26,29.17,28.57
REQ-1312,FY2025,Policy,1515 Operations Research Analyst,GS-11,182,100,25,4,61,Interview,Backfill,"Arlington, VA",54.95,25.0,16.0
REQ-1313,FY2024,Finance,0201 HR Specialist,GS-13,244,138,18,5,65,Interview,New Position,"Washington, DC",56.56,13.04,27.78
REQ-1314,FY2025,Policy,0501 Financial Analyst,GS-12,275,83,19,4,122,Review,New Position,"Washington, DC",30.18,22.89,21.05
REQ-1315,FY2026,IT Services,1515 Operations Research Analyst,GS-9,320,88,20,2,80,Cancelled,New Position,"Baltimore, MD",27.5,22.73,10.0
REQ-1316,FY2026,Human Resources,0201 HR Specialist,GS-11,293,146,32,5,82,Open,Backfill,"Arlington, VA",49.83,21.92,15.62
REQ-1317,FY2026,Program Management,0301 Program Analyst,GS-12,292,131,30,5,46,Review,New Position,"Baltimore, MD",44.86,22.9,16.67
REQ-1318,FY2025,Finance,2210 IT Specialist,GS-12,57,37,11,3,70,Selected,Temporary Surge,"Baltimore, MD",64.91,29.73,27.27
REQ-1319,FY2026,Policy,1515 Operations Research Analyst,GS-13,258,157,35,10,132,Cancelled,New Position,"Arlington, VA",60.85,22.29,28.57
REQ-1320,FY2025,Human Resources,0501 Financial Analyst,GS-9,111,30,5,1,55,Selected,Backfill,"Baltimore, MD",27.03,16.67,20.0
REQ-1321,FY2024,Operations,2210 IT Specialist,GS-11,322,143,40,10,53,Open,New Position,Hybrid,44.41,27.97,25.0
REQ-1322,FY2026,Operations,0501 Financial Analyst,GS-9,174,83,28,3,35,Interview,New Position,Remote,47.7,33.73,10.71
REQ-1323,FY2025,IT Services,0343 Management Analyst,GS-12,83,50,6,1,122,Open,New Position,"Washington, DC",60.24,12.0,16.67
REQ-1324,FY2026,Policy,0343 Management Analyst,GS-12,76,33,12,2,115,Cancelled,New Position,Hybrid,43.42,36.36,16.67
REQ-1325,FY2024,Policy,2210 IT Specialist,GS-12,266,101,37,9,107,Open,New Position,"Washington, DC",37.97,36.63,24.32
REQ-1326,FY2025,Human Resources,0343 Management Analyst,GS-11,315,199,49,7,57,Review,New Position,Remote,63.17,24.62,14.29
REQ-1327,FY2025,Policy,2210 IT Specialist,GS-11,241,88,32,7,50,Review,Backfill,"Washington, DC",36.51,36.36,21.88
REQ-1328,FY2026,Program Management,0343 Management Analyst,GS-13,223,101,28,8,95,Review,Backfill,Hybrid,45.29,27.72,28.57
REQ-1329,FY2026,Operations,1515 Operations Research Analyst,GS-11,130,55,14,1,78,Cancelled,Backfill,Hybrid,42.31,25.45,7.14
REQ-1330,FY2024,Policy,2210 IT Specialist,GS-11,303,86,24,2,96,Review,Temporary Surge,Remote,28.38,27.91,8.33
REQ-1331,FY2025,Program Management,0343 Management Analyst,GS-13,186,89,27,8,100,Open,Temporary Surge,Hybrid,47.85,30.34,29.63
REQ-1332,FY2026,Program Management,0301 Program Analyst,GS-11,164,64,20,5,37,Open,Backfill,"Washington, DC",39.02,31.25,25.0
REQ-1333,FY2026,Program Management,0201 HR Specialist,GS-12,77,32,11,1,127,Interview,Backfill,"Arlington, VA",41.56,34.38,9.09
REQ-1334,FY2026,Human Resources,0343 Management Analyst,GS-13,143,46,17,3,121,Open,New Position,"Washington, DC",32.17,36.96,17.65
REQ-1335,FY2026,Policy,0501 Financial Analyst,GS-12,122,63,17,3,119,Cancelled,Temporary Surge,Hybrid,51.64,26.98,17.65
REQ-1336,FY2024,Human Resources,0301 Program Analyst,GS-9,219,115,50,11,73,Open,New Position,"Arlington, VA",52.51,43.48,22.0
REQ-1337,FY2026,Operations,0343 Management Analyst,GS-12,48,16,5,1,90,Selected,Backfill,"Arlington, VA",33.33,31.25,20.0
REQ-1338,FY2025,Program Management,0343 Management Analyst,GS-13,277,116,18,5,129,Selected,Temporary Surge,"Arlington, VA",41.88,15.52,27.78
REQ-1339,FY2026,Policy,0501 Financial Analyst,GS-13,138,51,20,3,77,Open,Backfill,Hybrid,36.96,39.22,15.0
REQ-1340,FY2026,Policy,0201 HR Specialist,GS-13,340,184,83,5,86,Interview,New Position,"Washington, DC",54.12,45.11,6.02
REQ-1341,FY2025,Program Management,0343 Management Analyst,GS-13,305,79,25,5,69,Selected,Temporary Surge,"Baltimore, MD",25.9,31.65,20.0
REQ-1342,FY2025,Operations,0201 HR Specialist,GS-11,264,140,18,2,59,Interview,Temporary Surge,"Baltimore, MD",53.03,12.86,11.11
REQ-1343,FY2025,Program Management,1515 Operations Research Analyst,GS-12,343,203,72,12,72,Selected,Backfill,"Arlington, VA",59.18,35.47,16.67
REQ-1344,FY2024,IT Services,0501 Financial Analyst,GS-9,141,51,19,4,51,Open,Backfill,Remote,36.17,37.25,21.05
REQ-1345,FY2025,Policy,0301 Program Analyst,GS-11,190,65,20,6,80,Selected,Temporary Surge,"Washington, DC",34.21,30.77,30.0
REQ-1346,FY2025,Finance,0343 Management Analyst,GS-12,67,26,4,1,97,Review,New Position,Hybrid,38.81,15.38,25.0
REQ-1347,FY2024,Human Resources,0201 HR Specialist,GS-9,344,178,63,18,91,Selected,Temporary Surge,"Washington, DC",51.74,35.39,28.57
REQ-1348,FY2025,Policy,0501 Financial Analyst,GS-13,294,86,28,7,81,Open,Temporary Surge,"Washington, DC",29.25,32.56,25.0
REQ-1349,FY2025,Human Resources,0301 Program Analyst,GS-13,113,57,13,1,60,Interview,Backfill,"Baltimore, MD",50.44,22.81,7.69
REQ-1350,FY2026,Operations,0301 Program Analyst,GS-13,293,93,19,4,88,Review,New Position,"Arlington, VA",31.74,20.43,21.05
REQ-1351,FY2025,Human Resources,0501 Financial Analyst,GS-11,254,106,27,4,101,Selected,New Position,Hybrid,41.73,25.47,14.81
REQ-1352,FY2025,Human Resources,1515 Operations Research Analyst,GS-11,70,20,4,1,56,Interview,Temporary Surge,"Washington, DC",28.57,20.0,25.0
REQ-1353,FY2025,Policy,1515 Operations Research Analyst,GS-12,301,192,50,14,124,Interview,Backfill,"Washington, DC",63.79,26.04,28.0
REQ-1354,FY2024,IT Services,0201 HR Specialist,GS-13,178,109,35,3,86,Interview,Temporary Surge,"Baltimore, MD",61.24,32.11,8.57
REQ-1355,FY2026,Policy,1515 Operations Research Analyst,GS-11,242,136,56,4,103,Review,Temporary Surge,Hybrid,56.2,41.18,7.14
REQ-1356,FY2024,Human Resources,0343 Management Analyst,GS-12,180,60,17,2,78,Selected,New Position,"Baltimore, MD",33.33,28.33,11.76
REQ-1357,FY2026,Finance,0343 Management Analyst,GS-9,251,162,25,2,82,Review,Temporary Surge,"Washington, DC",64.54,15.43,8.0
REQ-1358,FY2026,IT Services,1515 Operations Research Analyst,GS-11,264,97,35,6,65,Selected,Backfill,"Baltimore, MD",36.74,36.08,17.14
REQ-1359,FY2026,Policy,0301 Program Analyst,GS-9,180,93,36,7,52,Selected,Backfill,Hybrid,51.67,38.71,19.44
REQ-1360,FY2025,Human Resources,0343 Management Analyst,GS-9,333,109,41,7,53,Selected,Backfill,"Arlington, VA",32.73,37.61,17.07
REQ-1361,FY2026,Program Management,2210 IT Specialist,GS-13,278,93,14,3,86,Interview,Temporary Surge,Remote,33.45,15.05,21.43
REQ-1362,FY2024,IT Services,0301 Program Analyst,GS-13,260,137,59,14,88,Selected,Temporary Surge,Remote,52.69,43.07,23.73
REQ-1363,FY2025,Human Resources,1515 Operations Research Analyst,GS-11,101,64,19,3,123,Review,Temporary Surge,"Baltimore, MD",63.37,29.69,15.79
REQ-1364,FY2026,Operations,0343 Management Analyst,GS-12,95,47,12,1,108,Review,Backfill,"Baltimore, MD",49.47,25.53,8.33
REQ-1365,FY2024,Finance,2210 IT Specialist,GS-11,190,70,9,1,135,Interview,New Position,Remote,36.84,12.86,11.11
REQ-1366,FY2025,IT Services,0501 Financial Analyst,GS-12,36,11,3,1,88,Interview,Backfill,Remote,30.56,27.27,33.33
REQ-1367,FY2025,Operations,1515 Operations Research Analyst,GS-12,345,105,17,4,132,Interview,New Position,Hybrid,30.43,16.19,23.53
REQ-1368,FY2025,Policy,2210 IT Specialist,GS-9,244,99,41,6,40,Cancelled,New Position,"Washington, DC",40.57,41.41,14.63
REQ-1369,FY2026,Human Resources,0301 Program Analyst,GS-9,327,164,61,8,117,Open,Temporary Surge,Hybrid,50.15,37.2,13.11
REQ-1370,FY2024,Human Resources,2210 IT Specialist,GS-11,131,72,21,1,119,Selected,New Position,Hybrid,54.96,29.17,4.76
REQ-1371,FY2024,Finance,0501 Financial Analyst,GS-11,262,74,22,3,110,Open,Backfill,"Washington, DC",28.24,29.73,13.64
REQ-1372,FY2025,Operations,0301 Program Analyst,GS-12,305,115,24,2,47,Interview,New Position,"Arlington, VA",37.7,20.87,8.33
REQ-1373,FY2026,Human Resources,2210 IT Specialist,GS-13,192,121,42,3,76,Review,New Position,"Baltimore, MD",63.02,34.71,7.14
REQ-1374,FY2024,IT Services,0201 HR Specialist,GS-11,107,44,10,1,50,Open,Backfill,Hybrid,41.12,22.73,10.0
REQ-1375,FY2024,Program Management,0343 Management Analyst,GS-13,293,118,19,1,94,Interview,Temporary Surge,"Arlington, VA",40.27,16.1,5.26
REQ-1376,FY2026,Operations,2210 IT Specialist,GS-13,44,16,7,2,66,Selected,Backfill,"Washington, DC",36.36,43.75,28.57
REQ-1377,FY2026,Program Management,0201 HR Specialist,GS-13,291,96,42,6,56,Selected,New Position,"Washington, DC",32.99,43.75,14.29
REQ-1378,FY2025,Finance,0201 HR Specialist,GS-12,272,173,56,12,56,Open,Temporary Surge,Remote,63.6,32.37,21.43
REQ-1379,FY2026,IT Services,0201 HR Specialist,GS-9,214,126,24,6,71,Open,Backfill,"Washington, DC",58.88,19.05,25.0
REQ-1380,FY2024,IT Services,0201 HR Specialist,GS-12,237,125,49,11,70,Selected,Temporary Surge,"Baltimore, MD",52.74,39.2,22.45
REQ-1381,FY2025,Operations,0501 Financial Analyst,GS-12,168,108,38,4,119,Cancelled,New Position,"Arlington, VA",64.29,35.19,10.53
REQ-1382,FY2026,Program Management,0501 Financial Analyst,GS-9,36,18,2,1,106,Selected,Temporary Surge,"Washington, DC",50.0,11.11,50.0
REQ-1383,FY2025,IT Services,2210 IT Specialist,GS-13,310,81,32,7,121,Open,New Position,"Washington, DC",26.13,39.51,21.88
REQ-1384,FY2025,Policy,1515 Operations Research Analyst,GS-12,98,43,18,3,63,Selected,New Position,"Washington, DC",43.88,41.86,16.67
REQ-1385,FY2024,Finance,0501 Financial Analyst,GS-11,349,175,68,7,98,Cancelled,New Position,"Arlington, VA",50.14,38.86,10.29
REQ-1386,FY2026,Policy,0201 HR Specialist,GS-11,237,70,15,3,56,Interview,New Position,Hybrid,29.54,21.43,20.0
REQ-1387,FY2026,Finance,0301 Program Analyst,GS-9,100,55,9,3,64,Selected,Temporary Surge,Hybrid,55.0,16.36,33.33
